Gene_id,Gene_Chr,Gene_Start,Gene_End,Gene,RPKM
ENSG00000004961.14_2,X,11129421,11141198,HCCS,10.44326531
ENSG00000004975.11_2,17,7128660,7137864,DVL2,8.663296981
ENSG00000005001.9_2,16,2902728,2908171,PRSS22,57.76202021
ENSG00000005007.12_2,19,18942747,18979045,UPF1,43.86031696
ENSG00000005020.12_3,7,26706681,27034858,SKAP2,4.118255102
ENSG00000005022.5_2,X,118602363,118605282,SLC25A5,103.8452601
ENSG00000005059.15_3,4,110481361,110609882,MCUB,2.548348242
ENSG00000005073.5_2,7,27221129,27224842,HOXA11,0
ENSG00000005075.15_2,7,102113565,102119354,POLR2J,16.94514066
ENSG00000005100.12_3,17,5344232,5372380,DHX33,3.44446466
ENSG00000005102.12_2,17,41717756,41739322,MEOX1,0.021047047
ENSG00000005108.15_3,7,11409984,11871824,THSD7A,0.119902113
ENSG00000005156.11_3,17,33307513,33336762,LIG3,6.264577221
ENSG00000005175.9_3,12,48055032,48099844,RPAP3,4.859920004
ENSG00000005187.11_3,16,20621565,20808903,ACSM3,0.925050275
ENSG00000005189.19_2,16,20817751,20860990,AC004381.6,2.935965857
ENSG00000005194.14_3,16,57462081,57481440,CIAPIN1,6.194276696
ENSG00000005206.16_1,19,2328614,2354804,SPPL2B,60.9703134
ENSG00000005238.19_2,9,35104109,35116338,FAM214B,3.489223724
ENSG00000005243.9_3,17,46103533,46115392,COPZ2,2.436910746
ENSG00000005249.12_2,7,106685094,106802256,PRKAR2B,2.520171851
ENSG00000005302.17_3,X,11776278,11793872,MSL3,5.863201537
ENSG00000005339.14_3,16,3775055,3930727,CREBBP,10.38939818
ENSG00000005379.15_3,17,56378589,56406121,TSPOAP1,18.45368991
ENSG00000005381.7_2,17,56347217,56358296,MPO,0
ENSG00000005421.8_2,7,94926988,94954019,PON1,0.040236127
ENSG00000005436.13_3,2,75879126,75938115,GCFC2,4.435972297
ENSG00000005448.16_2,2,74648805,74652882,WDR54,52.39250247
ENSG00000005469.11_2,7,86974997,87029111,CROT,6.522470996
ENSG00000005471.15_3,7,87031013,87109751,ABCB4,0.060821304
ENSG00000005483.20_3,7,104654626,104754808,KMT2E,7.761375045
ENSG00000005486.16_2,7,75471920,75518244,RHBDD2,70.62859572
ENSG00000005513.9_2,16,1031808,1036979,SOX8,0.077131349
ENSG00000005700.14_2,6,82879700,82957471,IBTK,8.769556676
ENSG00000005801.16_3,11,3360491,3400452,ZNF195,2.934044623
ENSG00000005810.17_1,13,77618790,77901185,MYCBP2,4.464688504
ENSG00000005812.10_3,13,77566733,77601330,FBXL3,12.14787885
ENSG00000005844.17_3,16,30483979,30534506,ITGAL,3.785379049
ENSG00000005882.11_3,17,48172101,48189516,PDK2,7.837742136
ENSG00000005884.17_2,17,48133332,48167845,ITGA3,23.05828111
ENSG00000005889.15_2,X,24167290,24234372,ZFX,6.269890156
ENSG00000005893.15_2,X,119561682,119603220,LAMP2,19.18219144
ENSG00000005961.17_3,17,42449548,42466873,ITGA2B,0.071846603
ENSG00000005981.12_2,7,95107756,95169544,ASB4,0.482518978
ENSG00000006007.11_2,16,19513011,19533467,GDE1,20.43000299
ENSG00000006015.17_3,19,18699495,18703146,C19orf60,10.95530649
ENSG00000006016.10_2,19,18683030,18718551,CRLF1,12.86548172
ENSG00000006025.11_3,17,45884738,45899200,OSBPL7,6.198518678
ENSG00000006042.11_2,17,31254928,31272124,TMEM98,16.7342263
ENSG00000006047.12_2,17,7191571,7197934,YBX2,0.672391169
ENSG00000006059.3_2,17,39502344,39507064,KRT33A,0.044269119
ENSG00000006062.14_2,17,43340488,43394406,MAP3K14,4.133586438
ENSG00000006071.12_3,11,17414432,17498392,ABCC8,0
ENSG00000006116.3_2,16,24266874,24374122,CACNG3,0
ENSG00000006118.14_3,11,60691935,60704631,TMEM132A,8.689941017
ENSG00000006125.17_3,17,33905065,34053428,AP2B1,20.61349783
ENSG00000006128.11_2,7,97361220,97369784,TAC1,0.030177095
ENSG00000006194.9_3,16,3313800,3351401,ZNF263,5.996868892
ENSG00000006210.6_2,16,57406370,57418960,CX3CL1,31.66300095
ENSG00000006282.20_3,17,48620419,48633213,SPATA20,14.32098538
ENSG00000006283.17_3,17,48638429,48704835,CACNA1G,0.023472801
ENSG00000006327.13_2,16,3068446,3072384,TNFRSF12A,13.81196516
ENSG00000006377.10_2,7,96634860,96640351,DLX6,0
ENSG00000006432.15_3,14,71189243,71276251,MAP3K9,2.654142062
ENSG00000006451.7_3,7,39663082,39747723,RALA,6.894441206
ENSG00000006453.13_3,7,97920963,98030380,BAIAP2L1,48.98274692
ENSG00000006459.10_2,7,139784546,139876835,KDM7A,7.803009667
ENSG00000006468.13_2,7,13930853,14031050,ETV1,0.275510354
ENSG00000006530.15_2,7,141250989,141355044,AGK,4.23804972
ENSG00000006534.15_2,11,67776048,67796749,ALDH3B1,133.2097097
ENSG00000006555.10_2,1,55245385,55266940,TTC22,11.06553972
ENSG00000006576.16_2,7,77428109,77586820,PHTF2,2.2800286
ENSG00000006606.8_2,7,75398851,75419214,CCL26,0.161400443
ENSG00000006607.13_3,2,242295658,242434256,FARP2,5.111208124
ENSG00000006611.15_2,11,17515442,17565963,USH1C,2.770877646
ENSG00000006625.17_3,7,30536237,30544460,GGCT,14.66278049
ENSG00000006634.7_2,7,87505531,87538856,DBF4,1.156145567
ENSG00000006638.11_2,19,3594504,3606838,TBXA2R,0.091795418
ENSG00000006652.13_3,7,112063023,112121072,IFRD1,2.936587199
ENSG00000006659.12_2,19,40194946,40200084,LGALS14,0
ENSG00000006695.10_2,17,13972813,14111994,COX10,4.373661967
ENSG00000006704.10_3,7,73868120,74016930,GTF2IRD1,5.542218436
ENSG00000006712.14_3,19,39876492,39881835,PAF1,31.18854849
ENSG00000006715.15_3,7,38762563,38971994,VPS41,5.638277536
ENSG00000006740.16_2,17,12692856,12894960,ARHGAP44,4.89570619
ENSG00000006744.18_3,17,12895708,12921504,ELAC2,9.935717138
ENSG00000006747.14_2,7,12610203,12699804,SCIN,5.87733401
ENSG00000006756.15_2,X,2822011,2847392,ARSD,31.52635078
ENSG00000006757.11_2,X,7866288,7895780,PNPLA4,9.785482294
ENSG00000006788.13_3,17,10204182,10276447,MYH13,0
ENSG00000006831.9_2,12,1797740,1897844,ADIPOR2,9.106398051
ENSG00000006837.11_3,5,133622041,133706738,CDKL3,1.947602301
ENSG00000007001.12_3,2,158733214,158992666,UPP2,0.366084805
ENSG00000007038.10_2,16,2867181,2876305,PRSS21,2.23031288
ENSG00000007047.14_3,19,45582546,45808541,MARK4,6.216083414
ENSG00000007062.11_3,4,15964699,16086001,PROM1,53.52554538
ENSG00000007080.10_2,19,18043825,18054800,CCDC124,28.77891431
ENSG00000007129.17_3,19,42055886,42093197,CEACAM21,0.391626176
ENSG00000007168.12_3,17,2496504,2588909,PAFAH1B1,21.14718171
ENSG00000007171.16_3,17,26083792,26127525,NOS2,8.834026749
ENSG00000007174.17_3,17,11501748,11873065,DNAH9,38.09698713
ENSG00000007202.14_3,17,26941458,26972472,KIAA0100,25.34695645
ENSG00000007216.14_2,17,26800311,26824799,SLC13A2,1.925047996
ENSG00000007237.18_3,17,9813926,10101868,GAS7,6.656409944
ENSG00000007255.10_2,19,45666186,45681495,TRAPPC6A,24.0293775
ENSG00000007264.14_3,19,3777968,3802127,MATK,1.485928636
ENSG00000007306.14_2,19,42177235,42210895,CEACAM7,1.24745665
ENSG00000007312.12_2,17,62006100,62009714,CD79B,0.054783035
ENSG00000007314.12_2,17,62015914,62050278,SCN4A,0.013823694
ENSG00000007341.18_2,1,113066140,113163447,ST7L,2.462028342
ENSG00000007350.16_3,X,153524024,153558700,TKTL1,0
ENSG00000007372.21_3,11,31806327,31839610,PAX6,0.043801158
ENSG00000007376.7_2,16,834974,838397,RPUSD1,10.11299968
ENSG00000007384.15_2,16,108058,126354,RHBDF1,7.344984679
ENSG00000007392.16_3,16,238968,279462,LUC7L,12.52310374
ENSG00000007402.11_3,3,50400230,50541675,CACNA2D2,0.88768967
ENSG00000007516.13_3,16,1383602,1399442,BAIAP3,59.36142053
ENSG00000007520.3_2,16,1399241,1401912,TSR3,50.16768541
ENSG00000007541.16_1,16,616995,634136,PIGQ,23.15664469
ENSG00000007545.15_3,16,1662326,1727909,CRAMP1,7.682317958
ENSG00000007866.19_3,6,35441374,35464853,TEAD3,20.38806578
ENSG00000007908.15_3,1,169691782,169733846,SELE,0.0248525
ENSG00000007923.15_2,1,6694228,6761984,DNAJC11,9.39297867
ENSG00000007933.12_3,1,171060018,171086959,FMO3,8.958283859
ENSG00000007944.14_2,6,16129356,16148479,MYLIP,13.25268987
ENSG00000007952.17_3,X,100098313,100129334,NOX1,0.428039846
ENSG00000007968.6_2,1,23832922,23857712,E2F2,0.417624015
ENSG00000008018.8_2,6,170844205,170862429,PSMB1,31.50510172
ENSG00000008056.13_3,X,47431297,47479342,SYN1,0.178883379
ENSG00000008083.13_2,6,15246527,15522271,JARID2,3.3199521
ENSG00000008086.11_3,X,18443703,18671749,CDKL5,1.052732616
ENSG00000008118.9_2,1,209757062,209787283,CAMK1G,0
ENSG00000008128.22_3,1,1634169,1655763,CDK11A,6.199188098
ENSG00000008130.15_2,1,1682671,1711896,NADK,21.73617722
ENSG00000008196.12_2,6,50786436,50815326,TFAP2B,0.037062518
ENSG00000008197.4_2,6,50681541,50740701,TFAP2D,0
ENSG00000008226.19_3,3,38080696,38165516,DLEC1,101.2323205
ENSG00000008256.15_2,7,6201407,6312275,CYTH3,2.70745908
ENSG00000008277.14_2,7,87563458,87832204,ADAM22,0.525421353
ENSG00000008282.8_2,7,105730949,105753022,SYPL1,37.30560562
ENSG00000008283.15_3,17,61509665,61523739,CYB561,75.27147805
ENSG00000008294.20_2,17,49039535,49198226,SPAG9,5.536461523
ENSG00000008300.16_3,3,48673902,48700348,CELSR3,0.332655003
ENSG00000008311.14_2,7,121715701,121784334,AASS,3.816078101
ENSG00000008323.15_2,12,6419602,6437672,PLEKHG6,5.811116857
ENSG00000008324.11_2,3,42623332,42636606,SS18L2,8.998261203
ENSG00000008382.15_3,19,4343524,4360083,MPND,8.939607394
ENSG00000008394.12_3,12,16500076,16762193,MGST1,9.725461357
ENSG00000008405.11_3,12,107385142,107487607,CRY1,7.794299039
ENSG00000008438.4_2,19,46522411,46526323,PGLYRP1,0.237393151
ENSG00000008441.16_3,19,13106422,13209610,NFIX,30.06025622
ENSG00000008513.14_3,8,134467091,134584183,ST3GAL1,5.508804756
ENSG00000008516.16_2,16,3096682,3110727,MMP25,2.575307186
ENSG00000008517.16_3,16,3115298,3132193,IL32,2.725323681
ENSG00000008710.19_3,16,2138711,2185899,PKD1,26.73478321
ENSG00000008735.13_2,22,51039114,51052409,MAPK8IP2,1.168457138
ENSG00000008838.19_3,17,38175350,38217468,MED24,21.89118114
ENSG00000008853.16_2,8,22844930,22877712,RHOBTB2,5.398709901
ENSG00000008869.11_2,2,37195526,37311485,HEATR5B,8.158039075
ENSG00000008952.16_2,3,169684423,169716161,SEC62,24.69990699
ENSG00000008988.9_2,8,56979854,56987140,RPS20,77.13933084
ENSG00000009307.15_3,1,115259534,115301297,CSDE1,62.54064639
ENSG00000009335.17_3,7,156931607,157062066,UBE3C,8.712998089
ENSG00000009413.15_3,6,111620231,111804918,REV3L,3.911398465
ENSG00000009694.13_3,X,123509753,124097666,TENM1,0.017671947
ENSG00000009709.11_2,1,18957500,19075360,PAX7,0.045124629
ENSG00000009724.16_2,1,11086580,11107290,MASP2,1.688724746
ENSG00000009765.14_2,6,150690028,150727105,IYD,1.080434377
ENSG00000009780.15_3,1,28052490,28089633,FAM76A,4.618397251
ENSG00000009790.14_2,1,209929377,209955665,TRAF3IP3,0.657961921
ENSG00000009830.11_3,14,77741299,77787227,POMT2,6.079997255
ENSG00000009844.15_2,6,142468299,142545826,VTA1,4.707327703
ENSG00000009950.15_3,7,73007524,73038873,MLXIPL,0.780956909
ENSG00000009954.10_2,7,72854728,72936608,BAZ1B,11.24865889
ENSG00000010017.12_2,6,13621730,13711796,RANBP9,16.71610932
ENSG00000010030.13_3,6,36321868,36355577,ETV7,3.263905837
ENSG00000010072.15_2,1,231472850,231490769,SPRTN,3.241345025
ENSG00000010165.19_3,1,171750804,171783163,METTL13,9.714075643
ENSG00000010219.13_3,12,4671370,4724468,DYRK4,1.817299428
ENSG00000010244.18_3,17,30677136,30708905,ZNF207,7.486115213
ENSG00000010256.10_2,3,48636435,48648409,UQCRC1,43.3205821
ENSG00000010270.13_2,7,38217824,38270272,STARD3NL,5.536261623
ENSG00000010278.12_3,12,6308881,6347437,CD9,169.4378326
ENSG00000010282.14_3,3,42734155,42744319,HHATL,6.129029681
ENSG00000010292.12_3,12,6602522,6641121,NCAPD2,5.621024824
ENSG00000010295.19_3,12,6647541,6665249,IFFO1,1.330460175
ENSG00000010310.8_3,19,46171502,46186982,GIPR,25.10673176
ENSG00000010318.20_3,3,52444673,52457657,PHF7,4.010371976
ENSG00000010319.6_3,3,52467069,52479101,SEMA3G,0.04547943
ENSG00000010322.15_2,3,52489134,52527087,NISCH,20.24359019
ENSG00000010327.10_2,3,52529354,52558511,STAB1,0.98741919
ENSG00000010361.13_3,19,50310126,50320633,FUZ,65.91643324
ENSG00000010379.15_3,12,329787,372039,SLC6A13,0.832526536
ENSG00000010404.17_3,X,148558521,148602635,IDS,29.43450252
ENSG00000010438.16_3,9,33750464,33799229,PRSS3,0
ENSG00000010539.11_3,16,3272325,3286221,ZNF200,1.249970874
ENSG00000010610.9_3,12,6896024,6929974,CD4,14.43938792
ENSG00000010626.14_3,12,6982733,7023407,LRRC23,82.64453124
ENSG00000010671.15_2,X,100604435,100645784,BTK,0.884192196
ENSG00000010704.18_3,6,26087509,26098571,HFE,2.474745168
ENSG00000010803.16_2,1,41492872,41707826,SCMH1,8.897839094
ENSG00000010810.17_3,6,111981535,112194655,FYN,0.891785903
ENSG00000010818.9_2,6,143072604,143277835,HIVEP2,4.672302576
ENSG00000010932.16_2,1,171217610,171255117,FMO1,0.015817423
ENSG00000011007.12_2,1,24069645,24088549,ELOA,10.91717864
ENSG00000011009.10_2,1,24117460,24122029,LYPLA2,48.20507924
ENSG00000011021.21_3,1,11866153,11903201,CLCN6,6.101462486
ENSG00000011028.13_2,17,60704762,60770958,MRC2,0.99663597
ENSG00000011052.21_3,17,49230951,49249105,NME1-NME2,123.6127754
ENSG00000011083.8_2,5,149569520,149602351,SLC6A7,0.012975258
ENSG00000011105.12_3,12,3186521,3395730,TSPAN9,4.674290057
ENSG00000011114.14_3,14,93703896,93799438,BTBD7,4.785986693
ENSG00000011132.11_3,19,3750817,3761697,APBA3,4.337680474
ENSG00000011143.16_3,17,56282798,56296966,MKS1,15.38922351
ENSG00000011198.7_2,3,43731605,43775863,ABHD5,5.101108824
ENSG00000011201.11_3,X,8496915,8700227,ANOS1,8.544954994
ENSG00000011243.17_3,19,15490859,15529952,AKAP8L,18.89987749
ENSG00000011258.15_3,17,49254786,49337524,MBTD1,2.638654052
ENSG00000011260.13_2,17,49337889,49375297,UTP18,8.302216932
ENSG00000011275.18_3,7,5659678,5821370,RNF216,7.238637209
ENSG00000011295.15_3,17,15902694,15948329,TTC19,9.578491345
ENSG00000011304.19_3,19,797075,812327,PTBP1,48.52711954
ENSG00000011332.19_3,19,38701646,38720354,DPF1,0.433242501
ENSG00000011347.9_3,11,61282785,61348620,SYT7,2.990842658
ENSG00000011376.9_3,3,45429998,45590913,LARS2,5.345637732
ENSG00000011405.13_3,11,17099277,17229530,PIK3C2A,5.812572856
ENSG00000011422.11_2,19,44150247,44174699,PLAUR,4.486874369
ENSG00000011426.10_3,7,36429415,36493400,ANLN,0.87186307
ENSG00000011451.17_3,19,15530791,15560762,WIZ,7.89701059
ENSG00000011454.16_3,9,125703112,125867145,RABGAP1,7.546210584
ENSG00000011465.16_3,12,91534261,91576900,DCN,0.168523822
ENSG00000011478.11_2,19,46195741,46207247,QPCTL,6.610547183
ENSG00000011485.14_2,19,46850251,46896238,PPP5C,12.00585848
ENSG00000011523.13_2,2,65283500,65314138,CEP68,4.334359009
ENSG00000011566.14_3,2,39476407,39664453,MAP4K3,5.531217382
ENSG00000011590.13_3,19,36195429,36207940,ZBTB32,0.843302747
ENSG00000011600.11_2,19,36395303,36399197,TYROBP,38.28651617
ENSG00000011638.10_3,16,21169698,21191937,TMEM159,10.06739994
ENSG00000011677.12_2,X,151334706,151619830,GABRA3,0.264965406
ENSG00000012048.20_3,17,41196312,41322262,BRCA1,1.519827034
ENSG00000012061.15_3,19,45910591,45982086,ERCC1,16.38932344
ENSG00000012124.16_3,19,35810164,35838258,CD22,0.642915695
ENSG00000012171.19_3,3,50304990,50314977,SEMA3B,5.26076725
ENSG00000012174.11_3,X,21857754,21903542,MBTPS2,1.857235094
ENSG00000012211.12_3,X,49031613,49042981,PRICKLE3,5.783111354
ENSG00000012223.12_2,3,46477136,46526724,LTF,5.218512974
ENSG00000012232.8_2,8,28457986,28613116,EXTL3,3.355108652
ENSG00000012504.13_2,12,100867486,100958191,NR1H4,0
ENSG00000012660.13_3,6,53132196,53213977,ELOVL5,37.50475592
ENSG00000012779.10_2,10,45869624,45941567,ALOX5,10.0277922
ENSG00000012817.15_2,Y,21865751,21906825,KDM5D,0.060207499
ENSG00000012822.15_3,12,54102301,54121529,CALCOCO1,14.70460882
ENSG00000012963.14_3,14,93673401,93695561,UBR7,8.166735696
ENSG00000012983.11_2,14,50885219,51027844,MAP4K5,4.916094392
ENSG00000013016.15_3,2,31457203,31492313,EHD3,1.757405727
ENSG00000013275.7_2,19,40476912,40487348,PSMC4,38.16589682
ENSG00000013288.8_2,4,6576902,6625089,MAN2B2,12.55638488
ENSG00000013293.5_3,3,170177372,170303863,SLC7A14,0
ENSG00000013297.10_3,3,170136653,170578169,CLDN11,0.089730833
ENSG00000013306.15_3,17,42396993,42402238,SLC25A39,30.24035956
ENSG00000013364.18_3,16,29831715,29859360,MVP,64.67020853
ENSG00000013374.15_3,7,151038785,151075535,NUB1,12.81422872
ENSG00000013375.15_3,6,83870869,83903655,PGM3,8.827724054
ENSG00000013392.7_2,6,83903098,83908651,RWDD2A,2.883718087
ENSG00000013441.15_2,2,201717732,201729467,CLK1,27.28597799
ENSG00000013503.9_2,12,106751436,106903976,POLR3B,3.37764813
ENSG00000013523.9_3,14,77252521,77292589,ANGEL1,4.245984146
ENSG00000013561.17_3,5,141337893,141369856,RNF14,6.934717119
ENSG00000013563.13_3,X,153629579,153640449,DNASE1L1,9.833873271
ENSG00000013573.16_3,12,31226779,31257725,DDX11,1.81999526
ENSG00000013583.8_3,12,13127798,13153207,HEBP1,3.459512047
ENSG00000013588.7_3,12,13043716,13070871,GPRC5A,13.12300339
ENSG00000013619.13_2,X,149529689,149682448,MAMLD1,0.3251306
ENSG00000013725.14_2,11,60739152,60787849,CD6,2.371540846
ENSG00000013810.18_3,4,1723217,1746903,TACC3,1.802267858
ENSG00000014123.9_2,6,96969471,97003152,UFL1,13.02288933
ENSG00000014138.8_3,11,65029233,65073060,POLA2,4.248698942
ENSG00000014164.6_2,8,144519825,144623623,ZC3H3,7.429114001
ENSG00000014216.15_3,11,64948037,64979477,CAPN1,47.53771924
ENSG00000014257.15_2,3,132036211,132087142,ACPP,1.046273655
ENSG00000014641.17_2,2,63815743,63834331,MDH1,14.70600619
ENSG00000014824.13_3,4,41992489,42092474,SLC30A9,9.494411762
ENSG00000014914.20_2,1,149900543,149908762,MTMR11,2.110623896
ENSG00000014919.12_2,10,101471601,101491857,COX15,8.640951572
ENSG00000015133.18_2,14,91737667,91884188,CCDC88C,28.7829166
ENSG00000015153.14_2,12,42550906,42632151,YAF2,0.496731864
ENSG00000015171.19_3,10,180405,300577,ZMYND11,12.50210875
ENSG00000015285.10_2,X,48534985,48549818,WAS,3.361989525
ENSG00000015413.9_3,16,89679716,89704864,DPEP1,0.020816352
ENSG00000015475.18_2,22,18216904,18257536,BID,3.748312914
ENSG00000015479.18_3,5,138629337,138667366,MATR3,19.0786337
ENSG00000015520.14_3,7,44552134,44580914,NPC1L1,0.141025634
ENSG00000015532.9_2,17,48423453,48440499,XYLT2,10.21415269
ENSG00000015568.12_2,2,110550335,110615272,RGPD5,0.012058065
ENSG00000015592.16_2,8,27092840,27115937,STMN4,0
ENSG00000015676.17_2,7,44418720,44530479,NUDCD3,7.918269334
ENSG00000016082.14_2,5,50679225,50690572,ISL1,2.738011224
ENSG00000016391.10_3,3,53846362,53880417,CHDH,2.04161782
ENSG00000016402.13_2,6,137321108,137366317,IL20RA,11.55748306
ENSG00000016490.15_2,1,86934051,86965972,CLCA1,0.017058191
ENSG00000016602.9_2,1,87012761,87046437,CLCA4,4.793316892
ENSG00000016864.18_3,3,52728504,52740048,GLT8D1,20.70083339
ENSG00000017260.19_3,3,130569439,130735556,ATP2C1,16.21161808
ENSG00000017427.15_3,12,102789645,102874423,IGF1,0.112722852
ENSG00000017483.14_3,X,48316920,48328644,SLC38A5,2.668455153
ENSG00000017797.12_3,18,9475007,9538114,RALBP1,9.283214463
ENSG00000018189.12_3,4,71569921,71673032,RUFY3,5.873936114
ENSG00000018236.14_3,12,41086244,41466220,CNTN1,0.3041877
ENSG00000018280.16_2,2,219246752,219261617,SLC11A1,4.347282604
ENSG00000018408.14_3,3,149235022,149454501,WWTR1,5.986607746
ENSG00000018510.13_3,2,178257372,178424027,AGPS,6.417351739
ENSG00000018607.6_2,2,133066882,133076309,ZNF806,0
ENSG00000018610.13_2,X,118672112,118699371,CXorf56,6.393052771
ENSG00000018625.14_2,1,160085549,160113381,ATP1A2,0.00904642
ENSG00000018699.11_2,2,32853099,33046118,TTC27,5.160785492
ENSG00000018869.16_3,19,56887215,56904914,ZNF582,1.062954409
ENSG00000019102.11_2,11,124617368,124622134,VSIG2,56.69585037
ENSG00000019144.18_3,11,118477155,118528748,PHLDB1,0.511486556
ENSG00000019169.10_3,2,119699742,119752236,MARCO,29.65187759
ENSG00000019186.9_2,20,52769988,52790512,CYP24A1,7.430190474
ENSG00000019485.13_3,11,45117357,45256661,PRDM11,3.02855079
ENSG00000019505.7_2,11,45261852,45307870,SYT13,0.357140139
ENSG00000019549.9_2,8,49830327,49834299,SNAI2,2.119735579
ENSG00000019582.14_3,5,149781200,149792492,CD74,901.7480249
ENSG00000019991.15_3,7,81328322,81399754,HGF,0
ENSG00000019995.6_3,10,126630692,126676758,ZRANB1,6.150910817
ENSG00000020129.15_2,1,36023074,36032875,NCDN,12.6822113
ENSG00000020181.17_2,8,37641709,37702414,ADGRA2,0.903714475
ENSG00000020219.9_2,7,152142562,152144235,CCT8L1P,0.119122011
ENSG00000020256.19_3,20,50668202,50820847,ZFP64,3.098291064
ENSG00000020426.10_3,14,61201460,61436671,MNAT1,5.844846642
